TFs,Group,Gene_number,Genes
NCU-G1,DEG,0,--
NCU-G1,Up,0,--
NCU-G1,Down,0,--
NDT80/PhoG,ALL,2,Myrfl;Myrf
NDT80/PhoG,DEG,0,--
NDT80/PhoG,Up,0,--
NDT80/PhoG,Down,0,--
NF-YB,ALL,1,Nfyb
NF-YB,DEG,0,--
NF-YB,Up,0,--
NF-YB,Down,0,--
NF-YC,ALL,1,Nfyc
NF-YC,DEG,0,--
NF-YC,Up,0,--
NF-YC,Down,0,--
NGFIB-like,ALL,3,Nr4a1;Nr4a2;Nr4a3
NGFIB-like,DEG,0,--
NGFIB-like,Up,0,--
NGFIB-like,Down,0,--
Nrf1,ALL,1,Nrf1
Nrf1,DEG,0,--
Nrf1,Up,0,--
Nrf1,Down,0,--
P53,ALL,3,Trp53;Trp73;Trp63
P53,DEG,0,--
P53,Up,0,--
P53,Down,0,--
PAX,ALL,9,Pax7;Pax1;Pax4;Pax6;Pax5;Pax8;Pax3;Pax9;Pax2
PAX,DEG,0,--
PAX,Up,0,--
PAX,Down,0,--
PC4,ALL,1,Sub1
PC4,DEG,0,--
PC4,Up,0,--
PC4,Down,0,--
Pou,ALL,15,Pou6f1;Pou3f2;Pou2f2;Pou2f3;Pou2f1;Pou4f1;Pou4f2;Pou4f3;Pou3f3;Pou5f2;Pou5f1;Pou3f1;Pou3f4;Pou6f2;Pou1f1
Pou,DEG,0,--
Pou,Up,0,--
Pou,Down,0,--
RFX,ALL,8,Rfx6;Rfx3;Rfx8;Rfx1;Rfx2;Rfx5;Rfx4;Rfx7
RFX,DEG,0,--
RFX,Up,0,--
RFX,Down,0,--
RHD,ALL,10,Relb;Nfkb2;Nfkb1;Nfatc2;Rel;Nfatc1;Rela;Nfatc4;Nfatc3;Nfat5
RHD,DEG,0,--
RHD,Up,0,--
RHD,Down,0,--
RXR-like,ALL,12,Rxrg;Nr2f6;Hnf4g;Nr2c1;Nr2c2;Nr2f1;Rxrb;Rxra;Hnf4a;Nr2f2;Nr2e3;Nr2e1
RXR-like,DEG,1,Hnf4a
RXR-like,Up,0,--
RXR-like,Down,1,Hnf4a
Runt,ALL,3,Runx1;Runx2;Runx3
Runt,DEG,0,--
Runt,Up,0,--
Runt,Down,0,--
